,8050327, 95 A (JASON), 94 A 46 11, 95 B (MEDEA),,,,,,
,8050333, 95 A (ORESTES) 31 1,,,,,,,,
71822076-77,8050623, 95 A (LAOMEDON) 31,,,,,,,,
,8050637, 94 K 23,,,,,,,,
,8050637, 95 A (MENELAUS),,,,,,,,
,8050639, 94 C 22, 95 A (ULYSSES),,,,,,,
,8050639, 95 A (ACHILLES) 12 3,,,,,,,,
,8050639, 95 A (ULYSSES) 11,,,,,,,,
,8050708, 94 C 21,,,,,,,,
,8050708, 94 C 22,,,,,,,,
,8050708, 94 D 13 2,,,,,,,,
,8050708, 94 F 62 2,,,,,,,,
,8050708, 94 G 61,,,,,,,,
,8050708, 94 I 13 3,,,,,,,,
,8050708, 94 I 13 4,,,,,,,,
,8050708, 94 I 13 5,,,,,,,,
,8050708, 94 I 16 2,,,,,,,,
,8050708, 94 I 18 1,,,,,,,,
,8050708, 94 I 21 1,,,,,,,,
,8050708, 94 I 64,,,,,,,,
,8050713, 94 C 11 31,,,,,,,,
,8050769, 95 A (CLEOBIS AND BITON) 51,,,,,,,,
,8051444, 95 B (LAODAMIA),,,,,,,,
,8051454, 95 B (AMAZONS) 6,,,,,,,,
71822079,8051777, 94 I 53 1,,,,,,,,
71822082,8051990, 95 A (ACHILLES) 12 31 : 48 C 73 21,,,,,,,,
71822084,8052017, 94 C 11 31,,,,,,,,
71822092,8052043, 95 A (GERYON),,,,,,,,
71822093,8052222, 95 B (MEDEA) 3 : 13 B 42 1,,,,,,,,
,8052230, 95 A (NARCISSUS) 21,,,,,,,,
71822094,8052430, 95 A (TIRESIAS),,,,,,,,
,8052500, 94 C 11 3,,,,,,,,
,8052751, 95 A (PARIS) 8,,,,,,,,
,8053056, 95 A (TELEPHUS),,,,,,,,
,8053057, 95 A (TELEPHUS),,,,,,,,
,8053260, 95 (+0),,,,,,,,
,8053386, 95 A (PAN),,,,,,,,
,8053757, 95 B (NIOBE),,,,,,,,
,8053985, 95 A (ORESTES),,,,,,,,
,8053986, 95 A (ORESTES),,,,,,,,
,8055057, 94 H 24 3,,,,,,,,
,8055070, 95 B (IO),,,,,,,,
,8055081, 94 G 51,,,,,,,,
,8056302, 95A(ICARUS)68,,,,,,,,
,8056895, 95A(ACHILLES),,,,,,,,
,8056898, 95A(HECTOR)3,,,,,,,,
,8060754, 95 B (PASIPHAE) 21,,,,,,,,
,8060773, 94 F 42,,,,,,,,
,8060773, 94 F 42 1,,,,,,,,
,8060773, 94 F 42 22,,,,,,,,
,8060773, 94 F 8, 94 G 6,,,,,,,
,8061134, 94 D 1,,,,,,,,
,8061134, 94 D 1,,,,,,,,
,8061134, 94 D 13 2,,,,,,,,
,8061134, 95 B (IPHIGENIA),,,,,,,,
,8061135, 94 F 1,,,,,,,,
,8061135, 94 F 11 3,,,,,,,,
,8061135, 94 F 12,,,,,,,,
,8061135, 94 F 12 1,,,,,,,,
,8062410, 94 C 1,,,,,,,,
,8062418, 95 A (HIPPOLYTUS) 68 1,,,,,,,,
,8062757, 95 B (NIOBE) 62 2,,,,,,,,
,8062786, 95 B (NIOBE),,,,,,,,
,8062865, 95 A (PHRIXUS) 32 1,,,,,,,,
,8063107, 94 H 15 1, 94 H 22 1,,,,,,,
,8063107, 94 H 15 1, 94 H 23,,,,,,,
,8063107, 94 H 21 3,,,,,,,,
,8063110, 95 A (ICARUS) 68,,,,,,,,
,8063119, 94 C 1,,,,,,,,
,8063119, 94 C 11 31,,,,,,,,
,8063119, 94 C 12,,,,,,,,
,8063209, 94 D 13 21,,,,,,,,
,8063209, 95 A (ACHILLES) 12 3,,,,,,,,
,8063209, 95 B (ARIADNE) 61,,,,,,,,
,8063259, 95 A (CADMUS) 34,,,,,,,,
,8063759, 94 H 14,,,,,,,,
,8063759, 94 H 14,,,,,,,,
,8063759, 95 A (ICARUS) 6,,,,,,,,
,8063759, 95 A (ICARUS) 6,,,,,,,,
,8063928, 95 B (PENELOPE) : 47 H 46 3,,,,,,,,
,8063931, 94 F, 94 G, 94 G 53 1,,,,,,
,8063956, 95 A (PRIAM),,,,,,,,
,8064119, 95 B (MYRRHA) 21 3,,,,,,,,
,8064885, 95 A (MINOTAUR) 3,,,,,,,,
,8065209, 94 F 82 2,,,,,,,,
,8065209, 94 F 82 2,,,,,,,,
,8065211, 95 B (POLYXENA),,,,,,,,
,8065211, 95 B (POLYXENA),,,,,,,,
,8065347, 95 B (ARIADNE) 61,,,,,,,,
,8065387, 94 H 21 3,,,,,,,,
,8065387, 94 H 21 3,,,,,,,,
,8065390, 95 B (ARIADNE),,,,,,,,
,8065400, 94 I 64,,,,,,,,
,8065401, 94 I,,,,,,,,
,8065402, 94 K 5,,,,,,,,
,8065402, 95 A (ACHILLES) 12,,,,,,,,
,8065402, 95 A (AMPHINOMUS AND ANAPIAS) 51,,,,,,,,
,8065402, 95 A (CLEOBIS AND BITON) 51,,,,,,,,
,8065402, 95 B (DANAE),,,,,,,,
,8065450, 94 C 11 3,,,,,,,,
,8065480, 95 B (ARIADNE),,,,,,,,
,8065488, 94 C 11 31,,,,,,,,
,8066402, 94 D 13 2,,,,,,,,
,8066760, 95 A (ANCHISES),,,,,,,,
,8066776, 94 D 13 2,,,,,,,,
,8066927, 95 A (ICARUS), 95 A (DAEDALUS),,,,,,,
,8066928, 95 A (ICARUS),,,,,,,,
,8067093, 95 A (ANCHISES),,,,,,,,
,8068246, 95 A (ULYSSES),,,,,,,,
,8068267, 94 G 51,,,,,,,,
,8068268, 94 G 51,,,,,,,,
,8068501, 94 H 22,,,,,,,,
,8069005, 95 A (CEPHALUS) 21 41,,,,,,,,
,8069048, 94 I 16 3 (+0),,,,,,,,
,8069252, 95 A (PELOPS),,,,,,,,
,8069253, 95 A (PELOPS),,,,,,,,
,8069292, 94 C 11 3,,,,,,,,
,8069311, 94 D 13 2,,,,,,,,
,8069400, 94 C 11 2,,,,,,,,
,8069411, 94 H 21 3,,,,,,,,
,8069469, 95 B (ATALANTE) 21 11,,,,,,,,
,8069567, 94 C 11 31,,,,,,,,
,8069929, 94 C 11 3,,,,,,,,
,8070437, 95 A (ACHILLES) 12 31,,,,,,,,
,8070670, 95 A (PELOPS),,,,,,,,
,8070791, 94 F 54,,,,,,,,
,8070806, 94 F 82 2,,,,,,,,
,8070917, 95 A (PYRAMUS AND THISBE),,,,,,,,
,8071011, 94 F 83 (+0),,,,,,,,
,8071019, 94 I 13 4,,,,,,,,
,8071045, 94 H 23 22,,,,,,,,
,8071046, 94 H 23 22,,,,,,,,
,8071047, 94 H 23 22,,,,,,,,
,8071048, 94 H 23 22,,,,,,,,
,8071049, 94 H 23 22,,,,,,,,
,8071050, 94 H 23 22,,,,,,,,
,8071051, 94 H 23 22,,,,,,,,
,8071053, 94 H 23 21,,,,,,,,
,8071356, 95 A (ICARUS) 51 2,,,,,,,,
,8071369, 94 H 24 3,,,,,,,,
,8071370, 94 H 24 3,,,,,,,,
,8071442, 95 B (NIOBE) 62 1,,,,,,,,
,8071448, 94 H 21 3,,,,,,,,
,8071448, 95 A (AMPHION AND ZETHUS) 41,,,,,,,,
,8071512, 94 I 21 1,,,,,,,,
,8071635, 95 A (HIPPOLYTUS) 68,,,,,,,,
,8071717, 95 B (ARIADNE),,,,,,,,
,8071719, 95 B (ARIADNE),,,,,,,,
,8071776, 95 A (ULYSSES),,,,,,,,
,8071781, 95 B (ARIADNE),,,,,,,,
,8071800, 95 B (IPHIGENIA),,,,,,,,
,8071804, 94 F 82 2,,,,,,,,
,8071804, 94 H 21 3,,,,,,,,
,8071804, 95 A (AMPHION AND ZETHUS) 41,,,,,,,,
,8071804, 95 A (ORESTES) 31 1,,,,,,,,
,8071804, 95 A (ORESTES) 31 1,,,,,,,,
,8071804, 95 A (PARIS),,,,,,,,
,8071804, 95 B (AMAZONS),,,,,,,,
,8071804, 95 B (AMAZONS),,,,,,,,
,8071804, 95 B (ATALANTE) 21 11,,,,,,,,
,8071804, 95 B (NIOBE) 62,,,,,,,,
,8071804, 95 B (NIOBE) 62,,,,,,,,
,8071861, 95 B (NIOBE) 62 2,,,,,,,,
,8071893, 95 A (NARCISSUS),,,,,,,,
,8071951, 95 B (NIOBE) 62 2 (+0),,,,,,,,
,8072066, 95 A (HIPPOLYTUS),,,,,,,,
,8072066, 95 A (HIPPOLYTUS),,,,,,,,
,8072066, 95 A (HIPPOLYTUS),,,,,,,,
,8072066, 95 A (HIPPOLYTUS),,,,,,,,
,8072162, 95 B (AMAZONS),,,,,,,,
,8072200, 95 B (NIOBE) 62 2 (+0),,,,,,,,
,8072365, 95 B (ARIADNE),,,,,,,,
,8072426, 95 B (NIOBE) 62 2,,,,,,,,
,8072438, 95 B (NIOBE) 62 2 (+0),,,,,,,,
,8072439, 95 B (NIOBE) 62 2 (+0),,,,,,,,
,8072440, 95 B (NIOBE) 62 2 (+0),,,,,,,,
,8072441, 95 B (NIOBE) 62 2 (+0),,,,,,,,
,8072442, 95 B (NIOBE) 62 2 (+0),,,,,,,,
,8072443, 95 B (NIOBE) 62 2 (+0),,,,,,,,
,8072444, 95 B (NIOBE) 62 1 (+0),,,,,,,,
,8072445, 95 B (NIOBE) 62 1 (+0),,,,,,,,
,8072446, 95 B (NIOBE) 62 1 (+0),,,,,,,,
,8072447, 95 B (NIOBE) 62 1 (+0),,,,,,,,
,8072448, 95 B (NIOBE) 62 1 (+0),,,,,,,,
,8072449, 95 B (NIOBE) 62 1 (+0),,,,,,,,
,8072450, 95 B (NIOBE) 62 3,,,,,,,,
,8072451, 95 A (AMPHION),,,,,,,,
,8072457, 95 B (ARIADNE),,,,,,,,
,8072580, 94 H 21 3,,,,,,,,
,8072586, 94 I 53 1,,,,,,,,
,8072699, 95 B (PENELOPE) : 33 C 81 2,,,,,,,,
,8072700, 94 F 11, 94 F 1, 94 F 12,,,,,,
,8072701, 94 F 83 21, 94 F 83 22,,,,,,,
,8072702, 94 G 23 5, 94 G 4,,,,,,,
,8072707, 94 I 56 1,,,,,,,,
,8072708, 94 H 24 3,,,,,,,,
,8072709, 94 I 84,,,,,,,,
,8072710, 95 A (ULYSSES),,,,,,,,
,8072723, 94 I 4, 94 I 7, 94 I 52, 94 I 44,,,,,
,8072799, 94 C 22,,,,,,,,
,8072904, 94 C 11 2,,,,,,,,
,8072904, 94 C 11 3,,,,,,,,
,8072904, 94 C 11 31,,,,,,,,
